Inputs stats
Crop2ML-generated;AI-generated;True positive;False positive;False negative;Precision;Recall;F1-Score
79;79;79;0;0;1.0;1.0;1.0

True positive
doThermalConductivityCoeffs
volumetricFractionOrganicMatter
volumetricFractionRocks
volumetricFractionIce
volumetricFractionWater
volumetricFractionClay
volumetricFractionSilt
volumetricFractionSand
kelvinT
Divide
Sum
volumetricSpecificHeat
volumetricFractionAir
airDensity
longWaveRadn
mapLayer2Node
ThermalConductance
shapeFactor
doUpdate
doThomas
getBoundaryLayerConductance
interpolateNetRadiation
interpolateTemperature
doThermalConductivity
doVolumetricSpecificHeat
Zero
doNetRadiation
ToCumThickness

False negative
Name

